model_name,metric,n_layers,n_total_units,n_unique_exact,n_unique_tol,uniq_frac_exact,uniq_frac_tol,n_groups_ge2,max_tie_group,tolerance,elapsed
resnet18,variance,21,5800,5799,2790,0.9998275862068966,0.4810344827586207,1,2,1e-06,2.1186683177948
resnet34,l1_norm,37,9512,9510,9510,0.9997897392767031,0.9997897392767031,2,2,1e-06,2.7584388256073
resnet34,l2_norm,37,9512,9511,9484,0.9998948696383515,0.9970563498738436,1,2,1e-06,2.7584388256073
resnet34,variance,37,9512,9512,3657,1.0,0.38446173254835997,0,1,1e-06,2.7584388256073
resnet50,l1_norm,54,27560,27558,27549,0.9999274310595065,0.9996008708272859,2,2,1e-06,0.33466172218322754
resnet50,l2_norm,54,27560,27558,27476,0.9999274310595065,0.9969521044992743,2,2,1e-06,0.33466172218322754
resnet50,variance,54,27560,27557,13896,0.9998911465892598,0.5042089985486212,3,2,1e-06,0.33466172218322754
resnet101,l1_norm,105,53672,53670,53658,0.9999627366224475,0.9997391563571322,2,2,1e-06,0.5572636127471924
resnet101,l2_norm,105,53672,53672,53522,1.0,0.9972052466835594,0,1,1e-06,0.5572636127471924
resnet101,variance,105,53672,53672,25786,1.0,0.4804367267849158,0,1,1e-06,0.5572636127471924
resnet152,l1_norm,156,76712,76708,76661,0.9999478569193868,0.9993351757221817,4,2,1e-06,3.8270394802093506
resnet152,l2_norm,156,76712,76709,76505,0.9999608926895401,0.9973015955782668,3,2,1e-06,3.8270394802093506
resnet152,variance,156,76712,76710,33284,0.9999739284596934,0.4338825737824591,2,2,1e-06,3.8270394802093506
resnext50_32x4d,l1_norm,54,35112,35110,35108,0.9999430394167236,0.9998860788334473,2,2,1e-06,1.536454439163208
resnext50_32x4d,l2_norm,54,35112,35109,35012,0.9999145591250854,0.9971519708361813,3,2,1e-06,1.536454439163208
resnext50_32x4d,variance,54,35112,35111,17358,0.9999715197083618,0.4943609022556391,1,2,1e-06,1.536454439163208
resnext101_32x8d,l1_norm,105,102440,102429,102413,0.999892620070285,0.9997364310816087,11,2,1e-06,5.135380983352661
resnext101_32x8d,l2_norm,105,102440,102432,102098,0.9999219055056618,0.9966614603670442,8,2,1e-06,5.135380983352661
resnext101_32x8d,variance,105,102440,102435,29839,0.9999511909410387,0.2912827020695041,5,2,1e-06,5.135380983352661
resnext101_64x4d,l1_norm,105,102440,102429,102386,0.999892620070285,0.9994728621632175,11,2,1e-06,4.739469528198242
resnext101_64x4d,l2_norm,105,102440,102431,102041,0.9999121436938696,0.9961050370948848,9,2,1e-06,4.739469528198242
resnext101_64x4d,variance,105,102440,102436,31239,0.9999609527528309,0.3049492385786802,4,2,1e-06,4.739469528198242
wide_resnet50_2,l1_norm,54,35112,35109,35102,0.9999145591250854,0.9997151970836181,3,2,1e-06,4.4459943771362305
wide_resnet50_2,l2_norm,54,35112,35103,35003,0.9997436773752563,0.9968956482114377,9,2,1e-06,4.4459943771362305
wide_resnet50_2,variance,54,35112,35111,13733,0.9999715197083618,0.3911198450672135,1,2,1e-06,4.4459943771362305
wide_resnet101_2,l1_norm,105,69928,69921,69907,0.9998998970369523,0.9996996911108569,7,2,1e-06,14.42807936668396
wide_resnet101_2,l2_norm,105,69928,69926,69755,0.9999713991534149,0.9975260267703924,2,2,1e-06,14.42807936668396
wide_resnet101_2,variance,105,69928,69926,21816,0.9999713991534149,0.31197803454982265,2,2,1e-06,14.42807936668396
densenet121,l1_norm,121,11240,11240,11239,1.0,0.9999110320284698,0,1,1e-06,0.1991569995880127
densenet121,l2_norm,121,11240,11240,11234,1.0,0.9994661921708186,0,1,1e-06,0.1991569995880127
densenet121,variance,121,11240,11239,7984,0.9999110320284698,0.7103202846975089,1,2,1e-06,0.1991569995880127
densenet161,l1_norm,161,21448,21448,21394,1.0,0.9974822827303245,0,1,1e-06,2.2280938625335693
densenet161,l2_norm,161,21448,21447,21359,0.9999533756061171,0.9958504289444238,1,2,1e-06,2.2280938625335693
densenet161,variance,161,21448,21448,8253,1.0,0.3847911227154047,0,1,1e-06,2.2280938625335693
densenet169,l1_norm,169,15208,15208,15208,1.0,1.0,0,1,1e-06,1.078195333480835
densenet169,l2_norm,169,15208,15205,15194,0.9998027354024198,0.999079431877959,3,2,1e-06,1.078195333480835
densenet169,variance,169,15208,15207,9107,0.99993424513414,0.5988295633876907,1,2,1e-06,1.078195333480835
densenet201,l1_norm,201,18024,18024,18023,1.0,0.9999445184198846,0,1,1e-06,1.368424892425537
densenet201,l2_norm,201,18024,18024,18005,1.0,0.9989458499778073,0,1,1e-06,1.368424892425537
densenet201,variance,201,18024,18024,9777,1.0,0.5424434087882823,0,1,1e-06,1.368424892425537
googlenet,l1_norm,58,8280,8280,8280,1.0,1.0,0,1,1e-06,0.1219930648803711
googlenet,l2_norm,58,8280,8280,8269,1.0,0.9986714975845411,0,1,1e-06,0.1219930648803711
googlenet,variance,58,8280,8280,5550,1.0,0.6702898550724637,0,1,1e-06,0.1219930648803711
inception_v3,l1_norm,98,20112,20110,20108,0.9999005568814638,0.9998011137629276,2,2,1e-06,3.1349332332611084
inception_v3,l2_norm,98,20112,20110,20065,0.9999005568814638,0.9976630867143994,2,2,1e-06,3.1349332332611084
inception_v3,variance,98,20112,20110,8473,0.9999005568814638,0.42129077167859985,2,2,1e-06,3.1349332332611084
mobilenet_v2,l1_norm,53,18056,18052,18038,0.9997784669915818,0.9990031014621179,4,2,1e-06,0.06626319885253906
mobilenet_v2,l2_norm,53,18056,18054,18002,0.9998892334957908,0.9970093043863536,2,2,1e-06,0.06626319885253906
mobilenet_v2,variance,53,18056,18053,14567,0.9998338502436863,0.8067678334071776,3,2,1e-06,0.06626319885253906
