model_name,accuracy,time,dataset,method,method_kwargs
resnet50,0.00096,0.4513788223266601,imagenet12,noise,{'eps': 0.1}
resnet50,0.69828,0.0180492401123046,imagenet12,prune,{'amount': 0.01}
resnet50,0.0051,0.0242900848388671,imagenet12,prune,{'amount': 0.05}
resnet50,0.66172,0.0195255279541015,imagenet12,prune,{'amount': 0.01}
resnet50,0.07404,0.0199840068817138,imagenet12,prune,{'amount': 0.05}
resnet50,0.55624,0.0195682048797607,imagenet12,prune,{'amount': 0.01}
resnet50,0.01922,0.128772497177124,imagenet12,prune,{'amount': 0.05}
resnet50,0.65236,0.0187811851501464,imagenet12,prune,{'amount': 0.01}
resnet50,0.02128,0.0246000289916992,imagenet12,prune,{'amount': 0.05}
resnet50,0.7168,0.0194003582000732,imagenet12,prune,{'amount': 0.01}
resnet50,0.03852,0.0200035572052001,imagenet12,prune,{'amount': 0.05}
resnet50,0.5546,0.0194778442382812,imagenet12,prune,{'amount': 0.01}
resnet50,0.01664,0.0196967124938964,imagenet12,prune,{'amount': 0.05}
resnet50,0.67314,0.0221669673919677,imagenet12,prune,{'amount': 0.01}
resnet50,0.0561,0.0201747417449951,imagenet12,prune,{'amount': 0.05}
resnet50,0.43596,0.0198688507080078,imagenet12,prune,{'amount': 0.01}
resnet50,0.04956,0.0205035209655761,imagenet12,prune,{'amount': 0.05}
resnet50,0.6445,0.0234291553497314,imagenet12,prune,{'amount': 0.01}
resnet50,0.00356,0.0202777385711669,imagenet12,prune,{'amount': 0.05}
resnet50,0.67172,0.0222811698913574,imagenet12,prune,{'amount': 0.01}
resnet50,0.0059,0.019446849822998,imagenet12,prune,{'amount': 0.05}
resnet50,0.80844,0.0330550670623779,imagenet12,neuperm,{}
resnet50,0.8084,0.0328145027160644,imagenet12,neuperm,{}
resnet50,0.80842,0.0301685333251953,imagenet12,neuperm,{}
resnet50,0.80838,0.0302464962005615,imagenet12,neuperm,{}
resnet50,0.8085,0.0309202671051025,imagenet12,neuperm,{}
resnet50,0.8084,0.0308668613433837,imagenet12,neuperm,{}
resnet50,0.8084,0.0297110080718994,imagenet12,neuperm,{}
resnet50,0.80846,0.0301547050476074,imagenet12,neuperm,{}
resnet50,0.80842,0.0292248725891113,imagenet12,neuperm,{}
resnet50,0.80844,0.0301697254180908,imagenet12,neuperm,{}
resnet50,0.80844,0.0,imagenet12,original,{}
resnet50,0.79288,0.1478869915008545,imagenet12,quantization,"{'n_bits': 8, 'per_channel': False}"
resnet50,0.80714,0.1520252227783203,imagenet12,quantization,"{'n_bits': 8, 'per_channel': True}"
resnet50,0.00096,0.1509156227111816,imagenet12,quantization,"{'n_bits': 4, 'per_channel': False}"
resnet50,0.0069,0.1605498790740966,imagenet12,quantization,"{'n_bits': 4, 'per_channel': True}"
resnet50,0.001,,imagenet12,quantization,"{'n_bits': 2, 'per_channel': True}"
