site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
47,conv_bn_conv,"['layer3.16.conv2.weight', 'layer3.16.bn2.weight']",256,l1_norm,0,1.0,0,1.0,72,0.71875,72,0.71875,72,0.71875,resnet101
48,conv_bn_conv,"['layer3.17.conv1.weight', 'layer3.17.bn1.weight']",256,l1_norm,0,1.0,0,1.0,56,0.78125,56,0.78125,56,0.78125,resnet101
49,conv_bn_conv,"['layer3.17.conv2.weight', 'layer3.17.bn2.weight']",256,l1_norm,0,1.0,0,1.0,76,0.703125,76,0.703125,76,0.703125,resnet101
50,conv_bn_conv,"['layer3.18.conv1.weight', 'layer3.18.bn1.weight']",256,l1_norm,0,1.0,0,1.0,98,0.6171875,98,0.6171875,98,0.6171875,resnet101
51,conv_bn_conv,"['layer3.18.conv2.weight', 'layer3.18.bn2.weight']",256,l1_norm,0,1.0,0,1.0,66,0.7421875,66,0.7421875,66,0.7421875,resnet101
52,conv_bn_conv,"['layer3.19.conv1.weight', 'layer3.19.bn1.weight']",256,l1_norm,0,1.0,0,1.0,113,0.55859375,113,0.55859375,113,0.55859375,resnet101
53,conv_bn_conv,"['layer3.19.conv2.weight', 'layer3.19.bn2.weight']",256,l1_norm,0,1.0,0,1.0,81,0.68359375,81,0.68359375,81,0.68359375,resnet101
54,conv_bn_conv,"['layer3.20.conv1.weight', 'layer3.20.bn1.weight']",256,l1_norm,0,1.0,0,1.0,115,0.55078125,115,0.55078125,115,0.55078125,resnet101
55,conv_bn_conv,"['layer3.20.conv2.weight', 'layer3.20.bn2.weight']",256,l1_norm,0,1.0,0,1.0,64,0.75,64,0.75,64,0.75,resnet101
56,conv_bn_conv,"['layer3.21.conv1.weight', 'layer3.21.bn1.weight']",256,l1_norm,0,1.0,0,1.0,60,0.765625,60,0.765625,60,0.765625,resnet101
57,conv_bn_conv,"['layer3.21.conv2.weight', 'layer3.21.bn2.weight']",256,l1_norm,0,1.0,0,1.0,58,0.7734375,58,0.7734375,58,0.7734375,resnet101
58,conv_bn_conv,"['layer3.22.conv1.weight', 'layer3.22.bn1.weight']",256,l1_norm,0,1.0,0,1.0,79,0.69140625,79,0.69140625,79,0.69140625,resnet101
59,conv_bn_conv,"['layer3.22.conv2.weight', 'layer3.22.bn2.weight']",256,l1_norm,0,1.0,0,1.0,55,0.78515625,55,0.78515625,55,0.78515625,resnet101
60,conv_bn_conv,"['layer4.0.conv1.weight', 'layer4.0.bn1.weight']",512,l1_norm,0,1.0,0,1.0,315,0.384765625,315,0.384765625,315,0.384765625,resnet101
61,conv_bn_conv,"['layer4.0.conv2.weight', 'layer4.0.bn2.weight']",512,l1_norm,2,0.99609375,1,2.0,355,0.306640625,355,0.306640625,355,0.306640625,resnet101
62,conv_bn_conv,"['layer4.1.conv1.weight', 'layer4.1.bn1.weight']",512,l1_norm,0,1.0,0,1.0,235,0.541015625,235,0.541015625,235,0.541015625,resnet101
63,conv_bn_conv,"['layer4.1.conv2.weight', 'layer4.1.bn2.weight']",512,l1_norm,0,1.0,0,1.0,239,0.533203125,239,0.533203125,239,0.533203125,resnet101
64,conv_bn_conv,"['layer4.2.conv1.weight', 'layer4.2.bn1.weight']",512,l1_norm,0,1.0,0,1.0,210,0.58984375,210,0.58984375,210,0.58984375,resnet101
65,conv_bn_conv,"['layer4.2.conv2.weight', 'layer4.2.bn2.weight']",512,l1_norm,0,1.0,0,1.0,272,0.46875,272,0.46875,272,0.46875,resnet101
0,conv_bn_conv,"['layer1.0.conv1.weight', 'layer1.0.bn1.weight']",64,l2_norm,0,1.0,0,1.0,0,1.0,0,1.0,6,0.90625,resnet101
1,conv_bn_conv,"['layer1.0.conv2.weight', 'layer1.0.bn2.weight']",64,l2_norm,0,1.0,0,1.0,0,1.0,0,1.0,2,0.96875,resnet101
2,conv_bn_conv,"['layer1.1.conv1.weight', 'layer1.1.bn1.weight']",64,l2_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,8,0.875,resnet101
