mode,model,payload,condition,metric,value,repeat,seed,gamma,error
maleficnet_fork,vgg16,destover,noise_0.1,snr,2.598956948677098,,,,
maleficnet_fork,vgg16,destover,prune_0.01,snr,8.280231085690442,,,,
maleficnet_fork,vgg16,destover,prune_0.05,snr,8.115455287188407,,,,
maleficnet_fork,vgg16,eq.drug,clean,snr,6.914025602928655,,,,
maleficnet_fork,vgg16,eq.drug,after_neuperm,snr,-19.19170313621751,,,,
maleficnet_fork,vgg16,eq.drug,ptq8_perchannel,snr,6.903262517799574,,,,
maleficnet_fork,vgg16,eq.drug,ptq4_perchannel,snr,6.779700513571459,,,,
maleficnet_fork,vgg16,eq.drug,ptq2_perchannel,snr,1.0922106264371496,,,,
maleficnet_fork,vgg16,eq.drug,noise_0.0001,snr,6.914145298625959,,,,
maleficnet_fork,vgg16,eq.drug,noise_0.001,snr,6.914331557975279,,,,
maleficnet_fork,vgg16,eq.drug,noise_0.01,snr,6.829243922259489,,,,
maleficnet_fork,vgg16,eq.drug,noise_0.1,snr,1.9445686474802384,,,,
maleficnet_fork,vgg16,eq.drug,prune_0.01,snr,6.910078088336952,,,,
maleficnet_fork,vgg16,eq.drug,prune_0.05,snr,6.935152126786328,,,,
maleficnet_fork,vgg16,kovter,clean,snr,7.844036496421742,,,,
maleficnet_fork,vgg16,kovter,after_neuperm,snr,-21.98937165346177,,,,
maleficnet_fork,vgg16,kovter,ptq8_perchannel,snr,7.844869772790306,,,,
maleficnet_fork,vgg16,kovter,ptq4_perchannel,snr,7.768610430933228,,,,
maleficnet_fork,vgg16,kovter,ptq2_perchannel,snr,0.8022834531374163,,,,
maleficnet_fork,vgg16,kovter,noise_0.0001,snr,7.844536051275318,,,,
maleficnet_fork,vgg16,kovter,noise_0.001,snr,7.847949676724265,,,,
maleficnet_fork,vgg16,kovter,noise_0.01,snr,7.775850538174907,,,,
maleficnet_fork,vgg16,kovter,noise_0.1,snr,2.375716936999103,,,,
maleficnet_fork,vgg16,kovter,prune_0.01,snr,7.807375780208049,,,,
maleficnet_fork,vgg16,kovter,prune_0.05,snr,7.575216010870997,,,,
maleficnet_fork,vgg16,stuxnet,clean,snr,8.19945037756469,,,,
maleficnet_fork,vgg16,stuxnet,after_neuperm,snr,-23.956435470981305,,,,
maleficnet_fork,vgg16,stuxnet,ptq8_perchannel,snr,8.192457700625436,,,,
maleficnet_fork,vgg16,stuxnet,ptq4_perchannel,snr,8.216303320415616,,,,
maleficnet_fork,vgg16,stuxnet,ptq2_perchannel,snr,5.111070098645163,,,,
maleficnet_fork,vgg16,stuxnet,noise_0.0001,snr,8.199641069204848,,,,
maleficnet_fork,vgg16,stuxnet,noise_0.001,snr,8.20022238729135,,,,
maleficnet_fork,vgg16,stuxnet,noise_0.01,snr,8.095474177848166,,,,
maleficnet_fork,vgg16,stuxnet,noise_0.1,snr,2.4934664272038147,,,,
maleficnet_fork,vgg16,stuxnet,prune_0.01,snr,8.212534719585378,,,,
maleficnet_fork,vgg16,stuxnet,prune_0.05,snr,7.675603083713653,,,,
spread_spectrum_llm,llama-3.2-1b,spread_spectrum,ber_clean,ber,0.068359375,-1,,0.0001,
spread_spectrum_llm,llama-3.2-1b,spread_spectrum,ber_after_neuperm,ber,0.5146484375,0,,0.0001,
spread_spectrum_llm,llama-3.2-1b,spread_spectrum,ber_after_neuperm,ber,0.4912109375,1,,0.0001,
spread_spectrum_llm,llama-3.2-1b,spread_spectrum,ber_after_neuperm,ber,0.068359375,2,,0.0001,
spread_spectrum_llm,llama-3.2-1b,spread_spectrum,ber_after_neuperm,ber,0.4990234375,3,,0.0001,
spread_spectrum_llm,llama-3.2-1b,spread_spectrum,ber_after_neuperm,ber,0.4990234375,4,,0.0001,
spread_spectrum_llm,qwen2.5-1.5b,spread_spectrum,ber_clean,ber,0.0537109375,-1,,0.0001,
spread_spectrum_llm,qwen2.5-1.5b,spread_spectrum,ber_after_neuperm,ber,0.0537109375,0,,0.0001,
spread_spectrum_llm,qwen2.5-1.5b,spread_spectrum,ber_after_neuperm,ber,0.513671875,1,,0.0001,
spread_spectrum_llm,qwen2.5-1.5b,spread_spectrum,ber_after_neuperm,ber,0.0537109375,2,,0.0001,
spread_spectrum_llm,qwen2.5-1.5b,spread_spectrum,ber_after_neuperm,ber,0.0537109375,3,,0.0001,
spread_spectrum_llm,qwen2.5-1.5b,spread_spectrum,ber_after_neuperm,ber,0.0537109375,4,,0.0001,
